 
 
                   ###################################################
                   #                                                 #
                   #      GENLINPRED UNCERTAINTY/ERROR ANALYSIS      #
                   #                                                 #
                   ###################################################
 
 
 
                   ANALYSIS DETAILS
                   ----------------
 
    Name of PEST control file                                   : linunc.pst
    Factor by which to multiply observation weights             : 1.0000
    Source of parameter uncertainty data                        : uncertainty file
    Name of uncertainty file                                    : param.unc
 
    Perform global parameter estimability analysis              : yes
         Parameter identifiability                              : yes
         Relative parameter error reduction                     : no
         Relative parameter uncertainty reduction               : yes
 
    Analyse error/uncertainty of an entity                      : yes
         Name of entity                                         : p-trib_1
         Type of entity                                         : prediction
         File containing prediction sensitivities               : linunc.jco
 
         Total error variance                                   : yes
         Total uncertainty                                      : yes
 
         Parameter contributions to error variance              : no
         Parameter contributions to uncertainty                 : yes
         Parameter contributions                                : by group
 
         Observation worth in reducing error variance           : no
         Observation worth in reducing uncertainty variance     : yes
         Observation worth                                      : by group


                   ANALYSIS OF PARAMETERS
                   ----------------------


 Outcomes of running program SUPCALC ----->
 
    Number of dimensions of calibration solution space = 20
    Number of dimensions of calibration null space     = 2185

 Outcomes of parameter identifiability and error/uncertainty variance reduction analysis ----->
 
    Parameter              Identifiability        Rel_uncert_var_redn
    kx1pp381                4.1747229E-04          1.1394200E-02
    kx1pp382                1.6582270E-03          1.5612100E-02
    kx1pp383                6.3148344E-04          1.4893300E-02
    kx1pp384                3.5921538E-04          1.2140700E-02
    kx1pp385                5.0209708E-03          6.7151000E-03
    kx1pp386                1.8976088E-04          1.1692500E-02
    kx1pp387                3.5396748E-04          1.0157300E-02
    kx1pp388                1.8588775E-02          7.1768000E-03
    kx1pp389                2.6938712E-03          5.0994000E-03
    kx1pp390                4.0711505E-03          1.0367100E-02
    kx1pp391                4.7133593E-04          9.0140000E-03
    kx1pp392                6.2648510E-03          7.5172000E-03
    kx1pp393                9.8946776E-04          5.2704000E-03
    kx1pp394                1.0987106E-03          1.4770600E-02
    kx1pp395                4.4286570E-04          1.0297800E-02
    kx1pp396                3.3091877E-03          1.6252900E-02
    kx1pp397                2.8945897E-03          2.1938500E-02
    kx1pp398                3.8700467E-04          1.0528500E-02
    kx1pp399                2.9170084E-04          1.1663500E-02
    kx1pp400                3.9316986E-04          1.3006000E-02
    kx1pp401                5.4816780E-04          1.4895400E-02
    kx1pp402                3.8220819E-05          1.9610500E-02
    kx1pp403                1.0083168E-03          3.5272600E-02
    kx1pp404                3.8138999E-04          8.8411100E-02
    kx1pp405                3.2279853E-04          7.9148600E-02
    kx1pp406                9.4506795E-04          5.6586300E-02
    kx1pp407                1.0242656E-04          1.0460200E-02
    kx1pp408                2.9982758E-04          2.5328300E-02
    kx1pp409                7.3940466E-04          2.5972900E-02
    kx1pp410                1.6277069E-04          1.1929300E-02
    kx1pp411                2.1522463E-04          9.3670000E-03
    kx1pp412                7.0519165E-05          6.1202000E-03
    kx1pp413                1.6981757E-04          9.1148000E-03
    kx1pp414                1.2469020E-04          8.6632000E-03
    kx1pp415                5.5445156E-05          3.6894000E-03
    kx1pp416                1.6432824E-04          3.6478000E-03
    kx1pp417                5.9473245E-05          3.7188000E-03
    kx1pp418                1.9889457E-05          2.9525000E-03
    kx1pp419                3.5702393E-04          8.5186000E-03
    kx1pp420                2.5500057E-05          7.5258000E-03
    kx1pp421                2.7275933E-05          5.6766000E-03
    kx1pp422                5.5406963E-05          8.1097000E-03
    kx1pp423                1.8325890E-04          1.0010100E-02
    kx1pp424                1.4634108E-03          6.1999000E-03
    kx1pp425                2.0671128E-04          1.1353000E-02
    kx1pp426                1.0120063E-04          1.2870600E-02
    kx1pp427                2.6884844E-04          1.3967600E-02
    kx1pp428                2.8552459E-04          9.6626000E-03
    kx1pp429                1.1136961E-03          9.2010000E-03
    kx1pp430                3.4812074E-04          1.2296100E-02
    kx1pp431                3.9443612E-04          1.3499800E-02
    kx1pp432                2.6797938E-04          1.0140400E-02
    kx1pp433                3.0562875E-04          8.0356000E-03
    kx1pp434                3.9371394E-05          6.2550000E-03
    kx1pp435                1.7650685E-05          5.6432000E-03
    kx1pp436                1.1081065E-04          7.4256000E-03
    kx1pp437                1.0432421E-04          7.7292000E-03
    kx1pp438                2.1670189E-04          1.4567400E-02
    kx1pp439                1.4459503E-04          1.0237600E-02
    kx1pp440                1.0571231E-04          1.9988000E-02
    kx1pp441                1.1613955E-04          3.1165700E-02
    kx1pp442                9.5380271E-03          3.9424700E-02
    kx1pp443                1.9389844E-02          4.2777900E-02
    kx1pp444                4.3234272E-03          4.8116000E-02
    kx1pp445                8.6862012E-04          5.6172700E-02
    kx1pp446                4.7365424E-03          5.6889100E-02
    kx1pp447                5.4144015E-04          6.3153600E-02
    kx1pp448                4.6067071E-04          5.4855900E-02
    kx1pp449                2.3422068E-04          4.7352300E-02
    kx1pp450                4.7952175E-05          2.8441600E-02
    kx1pp451                2.3162859E-05          3.5129900E-02
    kx1pp452                4.9688077E-05          4.1649500E-02
    kx1pp453                1.5544831E-04          2.9681500E-02
    kx1pp454                3.4478787E-04          3.2853400E-02
    kx1pp455                2.9833443E-04          5.3115000E-02
    kx1pp456                2.0764666E-04          2.1506700E-02
    kx1pp457                9.4505926E-04          2.3858700E-02
    kx1pp458                9.2606897E-04          3.3718500E-02
    kx1pp459                5.4970361E-04          1.4257700E-02
    kx1pp460                2.1804040E-03          2.2836900E-02
    kx1pp461                7.5166138E-04          2.5049000E-02
    kx1pp462                2.1381524E-03          3.5945200E-02
    kx1pp463                4.0205236E-04          4.7867000E-02
    kx1pp464                2.5210051E-04          5.7275800E-02
    kx1pp465                1.2401558E-05          4.3436500E-02
    kx1pp466                7.9960263E-06          3.3184300E-02
    kx1pp467                4.5705480E-04          3.0779600E-02
    kx1pp468                1.1325897E-03          4.8089600E-02
    kx1pp469                1.6472850E-03          6.3388300E-02
    kx1pp470                3.4434678E-03          5.8147400E-02
    kx1pp471                3.0507621E-04          2.3713500E-02
    kx1pp472                5.4136127E-04          2.7022400E-02
    kx1pp473                1.6966071E-03          6.1189500E-02
    kx1pp474                9.7694024E-04          6.4269400E-02
    kx1pp475                2.5554404E-03          8.1024200E-02
    kx1pp476                1.4796208E-03          8.4533200E-02
    kx1pp477                5.3580453E-03          3.8514900E-02
    kx1pp478                1.9704676E-03          2.2354600E-02
    kx1pp479                1.8481629E-06          1.6640000E-02
    kx1pp480                8.2353576E-06          1.0997100E-02
    kx1pp481                1.2442938E-06          8.4469000E-03
    kx1pp482                1.9359291E-05          8.4006000E-03
    kx1pp483                4.8264327E-06          5.6288000E-03
    kx1pp484                 0.000000              4.2073000E-03
    kx1pp485                6.3194230E-07          3.9881000E-03
    kx1pp486                4.8736552E-05          4.7245000E-03
    kx1pp487                5.9216449E-06          4.1360000E-03
    kx1pp488                8.9213217E-08          4.4602000E-03
    kx1pp489                2.1372873E-07          7.5237000E-03
    kx1pp490                1.0371298E-07          1.2161500E-02
    kx1pp491                1.7676924E-06          2.6855600E-02
    kx1pp492                3.0237579E-08          1.3334000E-02
    kx1pp493                1.4560880E-08          1.2955100E-02
    kx1pp494                2.9549756E-05          4.4147700E-02
    kx1pp495                5.7876678E-03          0.1126640
    kx1pp496                8.5632134E-04          9.9935400E-02
    kx1pp497                2.6164174E-06          9.1062500E-02
    kx1pp498                8.7706551E-05          1.0363400E-02
    kx1pp499                 0.000000              4.2596000E-03
    kx1pp500                9.5782003E-07          5.7686000E-03
    kx1pp501                1.3306599E-06          4.9196000E-03
    kx1pp502                2.0645858E-06          5.0088000E-03
    kx1pp503                1.4229838E-06          6.6267000E-03
    kx1pp504                2.8935487E-06          9.4283000E-03
    kx1pp505                2.6310190E-07          2.3564900E-02
    kx1pp506                9.1864751E-07          1.2895900E-02
    kx1pp507                8.1093601E-07          3.2898000E-02
    kx1pp508                8.0417209E-04          5.6048500E-02
    kx1pp509                3.9459216E-05          4.2672900E-02
    kx1pp510                1.4709084E-05          4.2795400E-02
    kx1pp511                2.9289671E-04          3.9568300E-02
    kx1pp512                9.0971420E-06          2.7216400E-02
    kx1pp513                1.3496712E-04          8.8088000E-03
    kx1pp514                2.8153485E-06          1.9548000E-02
    kx1pp515                2.9271100E-06          5.3644000E-03
    kx1pp516                 0.000000              5.7491000E-03
    kx1pp517                 0.000000              4.6982000E-03
    kx1pp518                5.2664100E-04          3.2182300E-02
    kx1pp519                9.8707925E-04          5.0830800E-02
    kx1pp520                8.9611989E-04          5.4030600E-02
    kx1pp521                3.8785450E-03          4.1084500E-02
    kx1pp522                6.5628708E-04          3.7314000E-02
    kx1pp523                4.0672360E-04          2.5791600E-02
    kx2pp001                1.6644310E-04          2.8129000E-03
    kx2pp002                1.1011472E-03          3.3856000E-03
    kx2pp003                1.5787560E-04          2.9856000E-03
    kx2pp004                2.9255206E-04          2.9443000E-03
    kx2pp005                1.5179898E-05          3.2789600E-02
    kx2pp006                3.1583601E-04          2.7705200E-02
    kx2pp007                2.0372014E-04          1.4605000E-02
    kx2pp008                7.8637083E-05          5.7861400E-02
    kx2pp009                9.0988255E-05          8.7627400E-02
    kx2pp010                2.5900424E-05          9.3384100E-02
    kx2pp011                8.2522163E-05          0.1370100
    kx2pp012                4.9104467E-03          0.1466437
    kx2pp013                2.0948004E-02          0.1585262
    kx2pp014                2.4252569E-04          0.1468757
    kx2pp015                3.1421606E-03          0.1234914
    kx2pp016                4.5631629E-06          0.1197005
    kx2pp017                7.4554113E-05          0.2103423
    kx2pp018                5.1323348E-05          0.2321323
    kx2pp019                2.3672433E-04          0.1502976
    kx2pp020                5.3679799E-04          0.4222509
    kx2pp021                1.6600296E-04          2.5587700E-02
    kx2pp022                1.2198526E-04          2.0017700E-02
    kx2pp023                1.1082658E-03          3.0407500E-02
    kx2pp024                2.1161881E-04          5.9531300E-02
    kx2pp025                1.1022125E-05          8.3300000E-03
    kx2pp026                2.6321598E-06          2.9011300E-02
    kx2pp027                1.4921023E-05          9.0706000E-03
    kx2pp028                2.1463936E-03          0.3033587
    kx2pp029                1.0559128E-03          0.1991692
    kx2pp030                3.9763212E-04          3.6795700E-02
    kx2pp031                3.3509431E-05          6.6882200E-02
    kx2pp032                3.6071868E-05          9.0388300E-02
    kx2pp033                3.5980711E-05          6.4937800E-02
    kx2pp034                4.3442883E-06          9.5182500E-02
    kx2pp035                3.5945308E-04          0.1410447
    kx2pp036                5.8231073E-05          4.1034700E-02
    kx2pp037                4.4526044E-04          8.5467700E-02
    kx2pp038                3.2216774E-04          0.1270262
    kx2pp039                2.2087886E-04          0.1127733
    kx2pp040                1.6642214E-04          0.2149184
    kx2pp041                1.9339742E-02          0.2968929
    kx2pp042                0.1436787              0.3378106
    kx2pp043                1.3158926E-03          0.2836649
    kx2pp044                4.5987488E-02          0.3274157
    kx2pp045                1.3128683E-04          2.8954400E-02
    kx2pp046                2.0636990E-07          0.1549042
    kx2pp047                2.5296141E-02          3.8066100E-02
    kx2pp048                5.9865807E-04          2.1891800E-02
    kx2pp049                6.1671124E-03          0.1557207
    kx2pp050                1.3503774E-02          4.6094600E-02
    kx2pp051                1.0225185E-02          6.4434400E-02
    kx2pp052                3.1175531E-02          7.4620700E-02
    kx2pp053                9.5331118E-04          0.1160592
    kx2pp054                5.3144699E-05          7.6638500E-02
    kx2pp055                7.5464614E-04          8.6401800E-02
    kx2pp056                1.6717672E-03          8.8121000E-02
    kx2pp057                5.0310604E-05          0.1033794
    kx2pp058                2.2418707E-05          0.1556161
    kx2pp059                4.0543353E-05          0.1110248
    kx2pp060                4.5974810E-07          8.3154900E-02
    kx2pp061                4.2144322E-06          0.1525729
    kx2pp062                1.8743996E-03          0.3334955
    kx2pp063                1.7966732E-03          0.5072654
    kx2pp064                0.3221186              0.7997599
    kx2pp065                5.9912729E-03          0.6043370
    kx2pp066                2.3009840E-02          0.6446687
    kx2pp067                1.2217583E-04          0.4318989
    kx2pp068                8.5156113E-07          0.1107799
    kx2pp069                1.2814055E-05          3.4099200E-02
    kx2pp070                8.0160570E-05          5.7531000E-03
    kx2pp071                2.9706567E-05          2.4453400E-02
    kx2pp072                6.4651497E-05          1.0255500E-02
    kx2pp073                3.9921029E-07          0.1863513
    kx2pp074                3.7567138E-07          0.1065769
    kx2pp075                1.6846269E-04          0.3051588
    kx2pp076                1.4090671E-05          0.3027888
    kx2pp077                4.6031408E-05          1.0335000E-03
    kx2pp078                4.4307015E-06          4.2934000E-03
    kx2pp079                8.5032511E-07          4.4984900E-02
    kx2pp080                2.9889310E-06          0.2015548
    kx2pp081                2.8172628E-07          0.1451762
    kx2pp082                3.7451180E-05          5.3234000E-02
    kx2pp083                2.6413228E-04          0.1051261
    kx2pp084                6.5341323E-05          6.2517800E-02
    kx2pp085                8.8456390E-03          7.0258700E-02
    kx2pp086                1.6123583E-06          0.3069037
    kx2pp087                2.9630846E-07          7.1168800E-02
    kx2pp088                1.3890260E-06          6.1186100E-02
    kx2pp089                5.7768879E-02          0.2781422
    kx2pp090                1.7784306E-02          0.1855241
    kx2pp091                1.5788429E-02          0.1296564
    kx2pp092                5.0461875E-03          0.1452443
    kx2pp093                5.3755856E-05          1.1728000E-03
    kx2pp094                5.8451093E-05          2.7817000E-03
    kx2pp095                7.2244295E-06          4.1012000E-03
    kx2pp096                6.7184460E-07          0.1154152
    kx2pp097                3.4595584E-06          0.1896806
    kx2pp098                8.5985974E-06          8.0049100E-02
    kx2pp099                1.0849317E-05          8.6373000E-02
    kx2pp100                1.5083375E-04          0.1214621
    kx2pp101                3.7355684E-06          1.1774000E-02
    kx2pp102                3.9723221E-04          0.1711753
    kx2pp103                2.3482098E-06          0.1998475
    kx2pp104                8.4116493E-07          0.1235908
    kx2pp105                1.0019454E-06          2.9336600E-02
    kx2pp106                1.6784314E-03          0.5773350
    kx2pp107                2.4494815E-03          9.1863100E-02
    kx2pp108                1.4902651E-03          1.1480300E-02
    kx2pp109                7.3794054E-03          7.2500800E-02
    kx2pp110                2.7599220E-03          4.6159300E-02
    kx2pp111                4.2083153E-03          7.9136000E-03
    kx2pp112                1.2226060E-03          1.0274900E-02
    kx2pp113                1.0657776E-03          9.5439000E-03
    kx2pp114                2.7565199E-03          1.1294000E-02
    kx2pp115                5.7638894E-03          2.5201900E-02
    kx2pp116                8.8668434E-03          1.3445000E-02
    kx2pp117                9.5841199E-03          1.3310500E-02
    kx2pp118                1.7287576E-02          2.2609500E-02
    kx2pp119                6.3632340E-03          4.1736800E-02
    kx2pp120                1.8093454E-02          6.5496900E-02
    kx2pp121                5.5842393E-03          1.4235400E-02
    kx2pp122                3.9236496E-02          1.3569100E-02
    kx2pp123                7.8509409E-04          6.5780000E-03
    kx2pp124                1.2429620E-05          1.0695000E-03
    kx2pp125                3.1561548E-08          7.2800000E-04
    kx2pp126                2.1855167E-06          5.5094000E-03
    kx2pp127                3.0730753E-07          2.7013000E-03
    kx2pp128                3.8809835E-04          2.7839400E-02
    kx2pp129                1.4340876E-04          1.3337600E-02
    kx2pp130                1.5459599E-04          4.9984000E-03
    kx2pp131                8.6375886E-05          4.9238000E-03
    kx2pp132                6.0879754E-03          1.6594700E-02
    kx2pp133                4.5023749E-03          1.3074300E-02
    kx2pp134                1.6908928E-02          1.3504800E-02
    kx2pp135                6.7993227E-03          4.2385900E-02
    kx2pp136                9.8797199E-03          2.8970100E-02
    kx2pp137                9.8391629E-03          2.6843100E-02
    kx2pp138                1.1041894E-02          1.7838200E-02
    kx2pp139                2.2811395E-03          4.5648000E-02
    kx2pp140                1.5072925E-04          5.4719000E-03
    kx2pp141                1.4791304E-07          7.6630000E-04
    kx2pp142                4.5882174E-07          5.9200000E-05
    kx2pp143                6.4128222E-05          1.6340000E-03
    kx2pp144                2.1115877E-05          1.5439000E-03
    kx2pp145                2.7400982E-06          3.6212000E-03
    kx2pp146                1.8049580E-07          1.1417200E-02
    kx2pp147                3.7979267E-06          2.3653500E-02
    kx2pp148                2.5612941E-06          2.1883100E-02
    kx2pp149                4.4812738E-05          1.6817700E-02
    kx2pp150                5.1090580E-05          3.3734000E-03
    kx2pp151                8.6987322E-05          1.7303000E-03
    kx2pp152                1.7534124E-06          6.7731900E-02
    kx2pp153                1.8391544E-05          0.1182120
    kx2pp154                4.9539803E-04          0.1730340
    kx2pp155                1.4235823E-03          0.1481200
    kx2pp156                9.7210518E-07          3.7470000E-03
    kx2pp157                1.2585983E-05          2.3007400E-02
    kx2pp158                4.8257889E-07          2.1962000E-03
    kx2pp159                9.4245813E-08          6.3028000E-03
    kx2pp160                1.4885572E-05          3.0176000E-03
    kx2pp161                1.1030643E-06          7.2360000E-04
    kx2pp162                5.5630109E-07          1.6891600E-02
    kx2pp163                2.6807836E-07          1.0194000E-03
    kx2pp164                3.9108751E-07          3.3651000E-03
    kx2pp165                9.7186681E-07          4.8956800E-02
    kx2pp166                7.2340301E-05          8.2049400E-02
    kx2pp167                1.0112468E-05          7.1052000E-02
    kx2pp168                8.1467966E-07          6.2027700E-02
    kx2pp169                3.3753106E-07          5.1336600E-02
    kx2pp170                2.3521294E-08          2.0335000E-03
    kx2pp171                1.5251405E-04          9.3043300E-02
    kx2pp172                1.1733577E-04          8.5662000E-03
    kx2pp173                5.2241389E-05          4.4926000E-03
    kx2pp174                8.7378781E-04          9.0370000E-03
    kx2pp175                2.3651023E-03          1.5699800E-02
    kx2pp176                8.9688222E-05          1.1619200E-02
    kx2pp177                3.9371853E-04          0.1632810
    kx2pp178                6.1508466E-04          1.2363400E-02
    kx2pp179                1.0061547E-06          5.4416500E-02
    kx2pp180                5.4213984E-08          4.6252100E-02
    kx2pp181                6.6254162E-08          3.6806000E-02
    kx2pp182                5.6086761E-08          2.8560200E-02
    kx2pp183                2.4218754E-06          4.1001600E-02
    kx2pp184                2.9754718E-08          2.7839800E-02
    kx2pp185                8.1072280E-08          1.7703200E-02
    kx2pp186                9.2971091E-08          1.1550400E-02
    kx2pp187                1.5329700E-07          1.9870000E-04
    kx2pp188                9.7525538E-08          1.6132800E-02
    kx2pp189                3.3980197E-08          2.3264500E-02
    kx2pp190                1.5821190E-08          2.5585000E-02
    kx2pp191                4.5204625E-08          2.9950200E-02
    kx2pp192                3.9753932E-08          1.8811900E-02
    kx2pp193                6.6317839E-08          5.2602000E-03
    kx2pp194                4.3356412E-08          1.1940500E-02
    kx2pp195                1.4638186E-07          5.4137000E-03
    kx2pp196                2.0144281E-07          4.3974000E-03
    kx2pp197                2.6101384E-07          2.2055300E-02
    kx2pp198                1.3163172E-06          4.8128600E-02
    kx2pp199                4.0374700E-04          7.1481300E-02
    kx2pp200                9.2883140E-04          0.1031158
    kx2pp201                3.7449717E-03          1.1173900E-02
    kx2pp202                6.6125622E-07          3.2213000E-03
    kx2pp203                8.9372588E-07          0.1011634
    kx2pp204                3.0348856E-06          0.2073781
    kx2pp205                9.5139775E-07          7.3804600E-02
    kx2pp206                2.8024613E-05          2.4580000E-03
    kx2pp207                5.5917847E-07          4.7755100E-02
    kx2pp208                2.5286874E-06          1.7950100E-02
    kx2pp209                4.3286918E-07          6.5902100E-02
    kx2pp210                4.8208854E-06          1.4550000E-03
    kx2pp211                9.4187578E-06          1.8432000E-03
    kx2pp212                2.9523982E-06          2.3166000E-03
    kx2pp213                4.6702033E-06          2.0086000E-03
    kx2pp214                9.8850970E-06          2.4997000E-03
    kx2pp215                1.5973395E-05          2.3686000E-03
    kx2pp216                2.8244850E-05          1.7455000E-03
    kx2pp217                1.7213926E-05          2.6525000E-03
    kx2pp218                4.7109168E-06          2.1762000E-03
    kx2pp219                2.6135814E-06          2.9252000E-03
    kx2pp220                1.2635533E-05          1.6038000E-03
    kx2pp221                1.5198730E-06          3.1807000E-03
    kx2pp222                9.3811291E-07          8.3940000E-03
    kx2pp223                1.2532178E-05          1.7080000E-02
    kx2pp224                2.3343446E-07          7.2067000E-03
    kx2pp225                2.3280758E-06          8.7472000E-03
    kx2pp226                1.2461394E-07          5.9616000E-03
    kx2pp227                5.1461905E-05          2.8884000E-03
    kx2pp228                2.3652879E-06          2.7497000E-03
    kx2pp229                6.0521628E-05          3.3278000E-03
    kx2pp230                2.1447944E-05          2.8588000E-03
    kx2pp231                6.4032010E-05          3.2607000E-03
    kx2pp232                4.5891313E-05          3.1716000E-03
    kx2pp233                9.1390053E-06          2.5019000E-03
    kx2pp234                2.1127904E-06          3.0845000E-03
    kx2pp235                1.3247682E-05          3.4473000E-03
    kx2pp236                4.0383112E-04          6.5035000E-03
    kx2pp237                5.1436333E-04          9.9955000E-03
    kx2pp238                1.2914174E-03          1.6469500E-02
    kx2pp239                1.5820924E-04          4.3472000E-03
    kx2pp240                2.3294224E-04          5.3372000E-03
    kx2pp241                6.2982256E-06          6.0827000E-03
    kx2pp242                3.8149943E-06          9.7270000E-04
    kx2pp243                7.5808178E-07          1.3404000E-03
    kx2pp244                1.3892437E-05          2.4561000E-03
    kx2pp245                1.4027842E-07          1.4984000E-03
    kx2pp246                4.9801009E-08          4.9813000E-03
    kx2pp247                3.8067499E-08          1.7605000E-03
    kx2pp248                1.2432333E-07          1.4891000E-03
    kx2pp249                4.3286427E-07          8.8190000E-04
    kx2pp250                7.5613841E-07          6.8620000E-04
    kx2pp251                6.9534781E-07          6.6590000E-04
    kx2pp252                8.3682686E-08          7.2274000E-03
    kx2pp253                2.1147038E-07          5.7728000E-03
    kx2pp254                3.5345389E-06          1.4855000E-03
    kx2pp255                1.3473650E-06          5.1029000E-03
    kx2pp256                6.4441212E-07          5.3307000E-03
    kx2pp257                1.1544651E-06          1.6648000E-03
    kx2pp258                1.9579185E-07          1.1533900E-02
    kx2pp259                9.4647376E-08          3.4128600E-02
    kx2pp260                2.4924170E-05          5.9772700E-02
    kx2pp261                5.9912836E-05          0.1032269
    kx2pp262                1.1946673E-06          9.4309600E-02
    kx2pp263                2.6851209E-06          0.1316693
    kx2pp264                7.0683193E-05          0.1584283
    kx2pp265                4.1914204E-04          0.1515871
    kx2pp266                3.1825372E-03          0.1413821
    kx2pp267                1.0832762E-03          0.1491117
    kx2pp268                8.8876652E-03          0.1542777
    kx2pp269                2.3651845E-02          0.1373816
    kx2pp270                4.0036344E-04          0.1222511
    kx2pp271                4.9326548E-04          0.1231271
    kx2pp272                7.5842727E-05          0.1423952
    kx2pp273                2.5567548E-04          0.1394065
    kx2pp274                2.3508875E-05          0.1150480
    kx2pp275                1.7120670E-02          0.1442668
    kx2pp276                1.3032524E-03          0.1674640
    kx2pp277                2.7541993E-05          0.2012986
    kx2pp278                7.1456696E-03          0.2224566
    kx2pp279                5.9214073E-04          0.2491205
    kx2pp280                8.2975551E-05          0.2488276
    kx2pp281                1.6196556E-02          0.3357649
    kx2pp282                8.7007609E-05          0.2628169
    kx2pp283                8.3459391E-06          0.2154121
    kx2pp284                1.5149004E-07          0.1799516
    kx2pp285                2.9493939E-06          0.1174004
    kx2pp286                1.4548550E-06          7.2697300E-02
    kx2pp287                2.7304244E-05          3.5211000E-02
    kx2pp288                6.5422220E-07          8.6081300E-02
    kx2pp289                6.3115385E-07          0.1331599
    kx2pp290                2.4176833E-07          0.1680902
    kx2pp291                9.4831554E-05          0.2140767
    kx2pp292                2.1171066E-04          0.2486150
    kx2pp293                3.8987863E-05          4.7267000E-02
    kx2pp294                3.2920678E-04          2.0656800E-02
    kx2pp295                1.2655900E-04          1.2582000E-02
    kx2pp296                3.7803500E-06          0.1116760
    kx2pp297                3.8943748E-06          0.1308058
    kx2pp298                4.3646442E-06          5.3714300E-02
    kx2pp299                7.8696145E-06          4.3527100E-02
    kx2pp300                4.4795202E-07          6.4639300E-02
    kx2pp301                2.8218413E-06          8.6106300E-02
    kx2pp302                2.0311344E-06          9.3590000E-03
    kx2pp303                9.5039477E-06          1.7310000E-02
    kx2pp304                2.7821756E-04          2.2301700E-02
    kx2pp305                7.3870782E-07          3.9703600E-02
    kx2pp306                2.7472186E-06          3.8692300E-02
    kx2pp307                4.0934167E-06          2.4533700E-02
    kx2pp308                1.2774862E-07          1.6071800E-02
    kx2pp309                7.2495866E-06          2.8354300E-02
    kx2pp310                8.2662711E-06          2.0113000E-02
    kx2pp311                7.3627271E-04          5.6073900E-02
    kx2pp312                2.6676472E-03          3.6526000E-02
    kx2pp313                1.4752396E-06          2.8456500E-02
    kx2pp314                2.7812874E-06          1.4397300E-02
    kx2pp315                4.3530348E-06          3.8761600E-02
    kx2pp316                7.5840267E-04          8.0619000E-02
    kx2pp317                1.1892915E-03          0.1086585
    kx2pp318                6.9655163E-04          0.1385383
    kx2pp319                4.0847482E-04          0.1554729
    kx2pp320                1.1035672E-03          0.1865444
    kx2pp321                6.2874515E-04          0.1732394
    kx2pp322                2.0059462E-03          0.1731030
    kx2pp323                6.2447571E-04          0.1540781
    kx2pp324                3.7579641E-03          0.1219357
    kx2pp325                7.9585415E-04          8.7129200E-02
    kx2pp326                1.2842688E-02          0.1595839
    kx2pp327                7.2309729E-05          9.3978300E-02
    kx2pp328                8.2485626E-05          0.1178482
    kx2pp329                2.7933058E-03          0.1191308
    kx2pp330                4.0042315E-06          5.8658900E-02
    kx2pp331                1.0387995E-05          3.8670300E-02
    kx2pp332                1.0672813E-05          4.8399300E-02
    kx2pp333                2.7537208E-05          3.4065100E-02
    kx2pp334                1.1238659E-06          2.5548600E-02
    kx2pp335                1.1926513E-04          5.4415100E-02
    kx2pp336                1.6997757E-03          8.8392900E-02
    kx2pp337                1.5674821E-03          0.1446045
    kx2pp338                8.6687011E-04          0.1149360
    kx2pp339                2.3879922E-03          0.1608466
    kx2pp340                9.0145636E-04          0.1754250
    kx2pp341                9.2581641E-06          0.1379026
    kx2pp342                1.9605655E-04          0.1587346
    kx2pp343                1.3179944E-06          0.1227406
    kx2pp344                1.8732882E-06          0.1411312
    kx2pp345                1.2193613E-06          0.1189173
    kx2pp346                1.8093779E-06          0.1489586
    kx2pp347                1.8924724E-05          0.1847920
    kx2pp348                4.6605786E-05          8.6590300E-02
    kx2pp349                1.1541390E-07          5.1381500E-02
    kx2pp350                1.6039564E-05          5.0240800E-02
    kx2pp351                1.7939677E-03          2.1600900E-02
    kx2pp352                4.4702286E-04          2.4984900E-02
    kx2pp353                1.4252418E-05          1.9643500E-02
    kx2pp354                1.0797712E-04          1.1297900E-02
    kx2pp355                8.6381231E-05          8.6252000E-03
    kx2pp356                1.2515117E-05          1.3807900E-02
    kx2pp357                2.6700316E-05          7.6232000E-03
    kx2pp358                1.0553142E-05          5.6786000E-03
    kx2pp359                9.3823022E-06          7.3543000E-03
    kx2pp360                5.3438134E-05          2.7998000E-03
    kx2pp361                5.0157573E-05          4.6427000E-03
    kx2pp362                1.8754895E-05          1.8210000E-03
    kx2pp363                5.4451012E-05          1.1014000E-03
    kx2pp364                2.1232653E-05          3.0534000E-03
    kx2pp365                9.4099643E-06          1.1619000E-03
    kx2pp366                1.5741843E-06          2.1634000E-02
    kx2pp367                8.7968941E-07          3.3924100E-02
    kx2pp368                3.6116181E-07          0.1039249
    kx2pp369                8.8200456E-06          4.0742000E-02
    kx2pp370                1.3706872E-06          0.1688158
    kx2pp371                4.1286741E-06          0.1628945
    kx2pp372                1.4657622E-06          9.1469300E-02
    kx2pp373                8.2953223E-04          0.3734183
    kx2pp374                7.1268483E-05          0.4058457
    kx2pp375                6.7135709E-04          0.2866582
    kx2pp376                1.4366098E-06          9.3167100E-02
    kx2pp377                2.6134390E-05          6.2896400E-02
    kx2pp378                8.2754836E-05          7.6991000E-02
    kx2pp379                4.6761213E-07          6.9843300E-02
    kx2pp380                1.4233071E-04          0.1789275
    kx2pp381                3.5991954E-07          0.1116784
    kx2pp382                2.7430310E-06          0.1092311
    kx2pp383                1.7799567E-07          8.9164300E-02
    kx2pp384                3.1304785E-07          0.1923584
    kx2pp385                5.5186332E-03          0.5468735
    kx2pp386                1.9780685E-06          0.2967723
