pointid               x            y           k1                 k2                 k3                k4
 pp275            1000.000       1500.000        6.9698100E-01      4.7377470E-01      2.5475499E-06     6.3789137E-02
 pp276            1500.000       1500.000        7.1110830E-01      4.0157510E-01      2.0892212E-06     1.0836710E-01
 pp277            2000.000       1500.000        6.9072950E-01      3.0879910E-01      1.9541567E-06     1.0283070E-01
 pp278            2500.000       1500.000        5.0025770E-01      1.7712350E-01      5.2282016E-06     1.4897420E-01
 pp279            3000.000       1500.000        3.8041050E-01      1.7584280E-01      5.1569145E-06     1.3321290E-01
 pp280            3500.000       1500.000        4.7590700E-01      1.8143540E-01      7.3747665E-06     1.5748210E-01
 pp281            4000.000       1500.000        5.3254580E-01      2.5008300E-01      9.4949628E-06     1.4476830E-01
 pp282            4500.000       1500.000        3.1604380E-01      2.0030680E-01      1.9259714E-05     2.1035750E-01
 pp283            5000.000       1500.000        4.3465850E-01      2.1587290E-01      1.2655816E-05     2.4806330E-01
 pp284            5500.000       1500.000        8.5410320E-01      1.8310310E-01      4.8209927E-06     1.4503840E-01
 pp285            6000.000       1500.000        1.0147940E+00      1.0038590E-01      8.2676988E-06     9.5224418E-02
 pp286            6500.000       1500.000        2.2195120E+00      1.4400860E-01      9.4523584E-06     3.3562172E-02
 pp287            7000.000       1500.000        1.7995190E+00      1.0593180E-01      9.6144822E-06     4.3165483E-02
 pp288            7500.000       1500.000        1.3552950E+00      1.3157170E-01      8.6912005E-06     3.8697347E-02
 pp289               0.000       1000.000        1.6332250E+00      1.7966690E-01      5.7340753E-06     6.5178923E-02
 pp290             500.000       1000.000        7.6548460E-01      2.0198050E-01      2.7712858E-06     1.0388680E-01
 pp291            1000.000       1000.000        8.3223180E-01      3.3568920E-01      3.0181354E-06     5.2881837E-02
 pp292            1500.000       1000.000        5.5773040E-01      2.7282980E-01      2.1401695E-06     5.7571799E-02
 pp293            2000.000       1000.000        7.8705100E-01      2.0560870E-01      6.0180350E-06     8.8740632E-02
 pp294            2500.000       1000.000        6.6729400E-01      1.7947880E-01      8.3706936E-06     1.0498620E-01
 pp295            3000.000       1000.000        7.8349920E-01      1.0331660E-01      1.0394595E-05     1.1071380E-01
 pp296            3500.000       1000.000        7.5390670E-01      1.5312700E-01      1.1903561E-05     8.0522642E-02
 pp297            4000.000       1000.000        7.7192120E-01      3.1148200E-01      1.1228212E-05     8.9056090E-02
 pp298            4500.000       1000.000        2.9005680E-01      3.8379820E-01      9.6795593E-06     7.8554429E-02
 pp299            5000.000       1000.000        6.6470310E-01      4.0786730E-01      1.1260744E-05     1.3976750E-01
 pp300            5500.000       1000.000        8.2345940E-01      1.7286940E-01      6.0752891E-06     1.6128660E-01
 pp301            6000.000       1000.000        1.4068570E+00      1.0927850E-01      7.6401175E-06     6.8682030E-02
 pp302            6500.000       1000.000        2.0979180E+00      1.1804880E-01      1.0887858E-05     5.2335959E-02
 pp303            7000.000       1000.000        2.2889840E+00      1.3105460E-01      6.6648308E-06     5.2085493E-02
 pp304            7500.000       1000.000        2.4717110E+00      6.4503469E-02      4.7468857E-06     3.8433138E-02
 pp305               0.000        500.000        1.1961070E+00      1.8629250E-01      5.1881220E-06     3.6700532E-02
 pp306             500.000        500.000        5.9375420E-01      1.7313770E-01      3.1121060E-06     4.0710084E-02
 pp307            1000.000        500.000        6.4692630E-01      2.7934300E-01      3.4140162E-06     4.1864183E-02
 pp308            1500.000        500.000        3.1578160E-01      1.2316000E-01      3.2632863E-06     3.5176702E-02
 pp309            2000.000        500.000        6.6638950E-01      1.3167570E-01      5.3648491E-06     7.8384034E-02
 pp310            2500.000        500.000        8.8328230E-01      1.0833010E-01      9.8821429E-06     1.3426870E-01
 pp311            3000.000        500.000        9.0667130E-01      1.9047140E-01      6.9892631E-06     6.6737734E-02
 pp312            3500.000        500.000        8.1938300E-01      1.7195720E-01      6.4963051E-06     5.9914984E-02
 pp313            4000.000        500.000        6.0852630E-01      3.4931370E-01      8.7472908E-06     7.4440107E-02
 pp314            4500.000        500.000        5.6512150E-01      2.1947760E-01      6.7983151E-06     8.5198037E-02
 pp315            5000.000        500.000        7.1556100E-01      2.0693830E-01      8.2534680E-06     1.1068740E-01
 pp316            5500.000        500.000        1.0885620E+00      1.8241420E-01      6.3072835E-06     8.8683285E-02
 pp317            6000.000        500.000        1.1866570E+00      1.0460930E-01      6.0137349E-06     8.4507361E-02
 pp318            6500.000        500.000        2.0929310E+00      1.0905050E-01      1.8462386E-05     8.4251173E-02
 pp319            7000.000        500.000        2.3553970E+00      8.7705463E-02      9.0918948E-06     6.8309560E-02
 pp320            7500.000        500.000        2.7485990E+00      9.6706733E-02      4.8645238E-06     5.7873204E-02
 pp321               0.000          0.000        5.8015770E-01      1.9132010E-01      3.7513926E-06     5.8282249E-02
 pp322             500.000          0.000        6.4380610E-01      2.2877510E-01      5.8706773E-06     3.6725804E-02
 pp323            1000.000          0.000        4.0099470E-01      1.5644680E-01      5.4532657E-06     5.3593431E-02
 pp324            1500.000          0.000        2.4912970E-01      1.2413010E-01      3.3618580E-06     3.5985924E-02
 pp325            2000.000          0.000        8.4020780E-01      1.0383460E-01      6.1966939E-06     4.7765370E-02
 pp326            2500.000          0.000        6.3320300E-01      1.0451280E-01      7.6915267E-06     6.3858531E-02
 pp327            3000.000          0.000        6.6417970E-01      1.6759100E-01      8.3700597E-06     6.4449191E-02
 pp328            3500.000          0.000        6.4601530E-01      1.6533290E-01      8.0476175E-06     5.5217866E-02
 pp329            4000.000          0.000        3.7694150E-01      2.5392920E-01      7.0369883E-06     7.6423071E-02
 pp330            4500.000          0.000        5.0323700E-01      1.5296070E-01      1.1717624E-05     1.3473480E-01
 pp331            5000.000          0.000        8.4280440E-01      2.4188870E-01      7.9011670E-06     1.4193160E-01
 pp332            5500.000          0.000        1.0346280E+00      2.3255490E-01      4.4286048E-06     8.6464845E-02
 pp333            6000.000          0.000        1.6861050E+00      1.4664530E-01      4.8662437E-06     5.9860274E-02
 pp334            6500.000          0.000        1.3572420E+00      1.6484320E-01      1.4708042E-05     3.4364946E-02
 pp335            7000.000          0.000        1.2712780E+00      6.8044499E-02      1.1297797E-05     5.1691819E-02
 pp336            7500.000          0.000        2.2120600E+00      6.3682370E-02      8.5906640E-06     4.1602772E-02
